,TIME,POSICAO,NOME,PONTUACAO,RODADA,G,A,FT,FD,FF,FS,SG,DS,DE,DP,PS,PP,PC,PI,I,GC,GS,FC,CV,CA,ADVERSARIO,CASA,FORA
864,Internacional,Zagueiro,Mercado,9.3,3,0,0,0,1,1,0,1,3,0,0,0,0,0,0,0,0,0,1,0,1,Goiás,1,0
865,Internacional,Atacante,Jean Dias,0.2,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Goiás,1,0
866,Grêmio,Zagueiro,Bruno Alves,0.6,3,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,1,Cuiabá,0,1
867,Goiás,Atacante,Guilherme Marques,0.8,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Internacional,0,1
868,América-MG,Atacante,Aloísio,5.9,3,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,Santos,0,1
869,Santos,Meia,Alison,0.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,América-MG,1,0
870,Coritiba,Atacante,William Pottker,0.5,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,São Paulo,1,0
871,Athlético-PR,Lateral,Madson,0.9,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,Atlético-MG,0,1
872,Bahia,Atacante,Everaldo,-0.3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Vasco,0,1
873,Internacional,Lateral,Renê,6.7,3,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Goiás,1,0
874,Cuiabá,Atacante,Jonathan Cafu,2.7,3,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Grêmio,1,0
875,Cruzeiro,Meia,Ramiro,7.9,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,Bragantino,0,1
876,Botafogo,Zagueiro,Víctor Cuesta,0.2,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,Flamengo,0,1
877,Cuiabá,Meia,Filipe Augusto,0.9,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,Grêmio,1,0
878,Fluminense,Atacante,Cano,0.6,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,Fortaleza,0,1
879,Grêmio,Meia,Lucas Silva,1.7,3,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Cuiabá,0,1
880,Fortaleza,Meia,Yago Pikachu,1.9,3,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Fluminense,1,0
881,São Paulo,Atacante,Luciano,3.8,3,0,0,0,2,1,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,Coritiba,0,1
882,Santos,Meia,Lucas Lima,2.8,3,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,3,0,0,América-MG,1,0
883,Vasco,Meia,Jair,4.1,3,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,1,0,0,Bahia,1,0
884,Palmeiras,Lateral,Mayke,-2.5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,Corinthians,1,0
885,São Paulo,Meia,Alisson,5.3,3,0,0,0,1,1,3,0,2,0,0,0,0,0,0,0,0,0,2,0,0,Coritiba,0,1
886,América-MG,Meia,Juninho,-0.3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Santos,0,1
887,Goiás,Goleiro,Tadeu,6.0,3,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,1,0,0,0,Internacional,0,1
