,TIME,POSICAO,NOME,PRECO,VALORIZACAO,PONTOS,MEDIA,JOGOS,RODADA,G,A,FT,FD,FF,FS,PP,I,PI,PS,SG,DP,DE,DS,GC,CV,CA,GS,FC,PC,NOME_ID,TIME_ID,POSICAO_ID,CAP
18,Bragantino,Atacante,Eduardo Sasha,9.73,-0.55,1.8,5.17,3,3,,,,,1.0,2.0,,,,,,,,,,,,,,,70360,280,5,0.0
19,Grmio,Meia,Vina,7.17,2.25,9.4,4.03,3,3,1.0,,,,,1.0,,,,,,,,1.0,,,,,1.0,,71162,284,4,0.0
20,AtlŽtico-MG,Meia,Zaracho,5.74,-1.16,-0.3,1.37,3,3,,,,,,,,,,,,,,,,,,,1.0,,100079,282,4,0.0
21,Bahia,TŽcnico,Renato Paiva,7.83,1.49,7.01,5.05,3,3,,,,,,,,,,,,,,,,,,,,,110818,265,6,0.0
22,Flamengo,Atacante,Gabriel,14.02,-0.42,6.30,4.6,3,3,,,,3.0,2.0,,,,,,,,,,,,1.0,,,,83257,262,5,6.30
23,Flamengo,Lateral,Ayrton Lucas,15.55,-0.75,2.9,7.0,3,3,,,,1.0,,1.0,,,,,,,,1.0,,,,,,,88393,262,2,0.0
24,Fluminense,Lateral,Samuel Xavier,13.22,2.12,8.0,9.1,2,2,,,,1.0,1.0,,,1.0,,,1.0,,,2.0,,,1.0,,1.0,,73384,266,2,0.0
25,Bahia,Atacante,Everaldo,10.68,-0.68,0.9,5.75,2,2,,,,1.0,,,,,,,,,,,,,,,1.0,,78117,265,5,0.0
26,S‹o Paulo,Meia,Michel Araœjo,8.17,2.23,7.2,6.2,2,2,,1.0,,,1.0,1.0,,,,,,,,1.0,,,,,1.0,,107173,276,4,0.0
27,Palmeiras,Atacante,Endrick,8.03,-0.68,1.05,4.1,2,2,,,,,,2.0,,,,,,,,,,,,,1.0,,115959,275,5,1.05
28,Cuiab‡,Meia,Raniele,13.56,0.91,4.0,8.8,2,2,,,,,,2.0,,,,,,,,3.0,,,,,2.0,,95556,1371,4,0.0
29,Bragantino,TŽcnico,Pedro Caixinha,8.21,0.05,2.64,4.64,2,2,,,,,,,,,,,,,,,,,,,,,117711,280,6,0.0
30,Flamengo,Zagueiro,LŽo Pereira,12.47,-0.11,2.1,7.3,2,2,,,,,,,,,,,,,,2.0,,,,,1.0,,83528,262,3,0.0
31,Bragantino,Meia,Matheus Fernandes,10.64,0.12,2.4,6.35,2,2,,,,,,,,,,,,,,2.0,,,,,,,94067,280,4,0.0
32,Cruzeiro,Zagueiro,Oliveira,9.48,-0.33,1.4,5.3,2,2,,,,,,,,,,,1.0,,,,,1.0,,,2.0,,94514,283,3,0.0
33,Cruzeiro,Lateral,Marlon,10.94,2.23,6.7,8.1,2,2,,,,,,,,,,,1.0,,,3.0,,,1.0,,3.0,,91706,283,2,0.0
34,Palmeiras,Atacante,Flaco L—pez,9.4,-0.08,1.4,5.55,2,2,,,,,1.0,,,,,,,,,1.0,,,,,2.0,,113103,275,5,0.0
35,Botafogo,Goleiro,Lucas Perri,7.21,0.11,3.0,4.0,2,2,,,,,,,,,,,,,4.0,,,,,1.0,,,91260,263,1,0.0
36,Internacional,Zagueiro,Rodrigo Moledo,3.94,-1.06,1.1,1.1,1,1,,,,,,,,,,,,,,2.0,,,1.0,,1.0,,63354,285,3,0.0
37,AthlŽtico-PR,TŽcnico,Paulo Turra,8.56,3.56,8.26,8.26,1,1,,,,,,,,,,,,,,,,,,,,,82747,293,6,0.0
38,Grmio,Lateral,Diogo Barbosa,10.19,5.19,10.8,10.8,1,1,,,,,1.0,1.0,,,,,1.0,,,4.0,,,,,1.0,,70916,284,2,0.0
39,Palmeiras,Atacante,Endrick,8.71,2.71,11.25,7.5,1,1,1.0,,,,1.0,1.0,,,,,,,,,,,,,6.0,,115959,275,5,11.25
40,Grmio,Meia,Villasanti,4.45,0.45,2.9,2.9,1,1,,,,,,1.0,,,,,,,,2.0,,,,,,,97145,284,4,0.0
41,Fluminense,Lateral,Samuel Xavier,11.1,4.1,10.2,10.2,1,1,,1.0,,,,1.0,,,,,1.0,,,,,,,,1.0,,73384,266,2,0.0
42,Palmeiras,Atacante,Artur,5.68,-1.32,1.8,1.8,1,1,,,,,1.0,2.0,,,,,,,,,,,,,,,95799,275,5,0.0
43,AthlŽtico-PR,Zagueiro,Pedro Henrique,10.58,5.58,11.4,11.4,1,1,1.0,,,,,,,,,,1.0,,,,,,1.0,,2.0,,87225,293,3,0.0
44,Fluminense,Meia,Gabriel Pirani,6.19,2.19,5.6,5.6,1,1,,,,1.0,,4.0,,,,,,,,2.0,,,,,,,110607,266,4,0.0
45,AthlŽtico-PR,Meia,Vitor Bueno,5.74,0.74,3.9,3.9,1,1,,,,2.0,1.0,2.0,,,,,,,,,,,,,1.0,,87552,293,4,0.0
46,Fluminense,Atacante,John Kennedy,11.55,6.55,12.9,12.9,1,1,1.0,,,2.0,,4.0,,1.0,,1.0,,,,1.0,,,1.0,,2.0,,110759,266,5,0.0
47,AtlŽtico-MG,Goleiro,Everson,2.58,-2.42,-1.0,-1.0,1,1,,,,,,,,,,,,,1.0,,,,,2.0,,,72294,282,1,0.0
